No.,Question,Explanations,Answer
1,"Which of the following is NOT a likely advantage of a persuasive virtual assistant over human persuaders?
1. Can be simultaneously used by lots of users.
2. Ability to continuously monitor the user 24/7 without getting fatigued.
3. Superior understanding of psychological nuances and social contexts.
4. Ability to process large amounts of health data for personalized analysis.
","Context data must be coupled with the ability to interpret it. While virtual assistants can handle data processing and analysis of the context data, they still lack human-like common sense to fully comprehend psychological nuances, social norms and contexts that human persuaders would naturally possess. This is exactly the reason why we need ""human-in-the-loop"". Therefore, 3 is the correct answer.",3
2,"Which of the following are given as examples of a context-aware app where the app is designed to automatically do a command when certain contexts are met? (Select all that apply)
1. Active Badge system triggering reminders based on location
2. Geonotes for leaving location-based annotations
3. Siren app generating alerts for firefighters based on contexts
4. Cyberguide mobile tour guide providing contextual information
5. Automatic brightness adjustment based on ambient light levels","Based on the question explanation and the context-aware app design dimension, this app is categorized as ""Context-triggered actions"" where the design choices are ""Automatic"" and ""Command"". Therefore, we should look at samples that correspond with those two design choices. 1. and 3. are the correct answers - The Active Badge and Siren app system using rules to trigger actions based on contextual conditions, so they belong ""Automatic"" and ""Command"" design dimension. The other choices are incorrect because they adopt a different choices in either design dimension.",1 & 3
3,"According to Freeman Dyson, which of the following will contribute most to the  new trends in science?
a) The development of new concepts
b) The introduction of new tools
c) Collaboration between different scientific disciplines
d) Government and institutional funding policies
","According to Freeman Dyson, the aspect that most influences new directions in science is the introduction of new tools. Dyson, a renowned theoretical physicist and mathematician, emphasized the significant role that the development of new experimental and computational tools plays in driving scientific progress. While other factors like the development of new concepts, interdisciplinary collaboration, and funding policies are important, Dyson particularly highlighted how new tools can lead to groundbreaking discoveries and open up entirely new fields of study.",b
4,"What is the correct functional triad for the 'Baby Think It Over' persuasive technology, designed to help teenage girls understand the challenges of caring for babies?
a) Tool: User behavior tracking; Medium: Baby simulator robot; Social Actor: Teenage girls
b) Tool: Educational messages; Medium: Baby simulator robot; Social Actor: Teenage girls
c) Tool: User behavior tracking; Medium: Interactive real-world simulation; Social Actor: Baby simulator robot 
d) Tool: User behavior tracking; Medium: baby simulator robot; Social Actor: School teachers
","The Tool in this case is user behavior tracking, implying that the technology keeps track of how the user interacts with and cares for the simulator. The Medium being an interactive real-world simulation means that the baby simulator provides a realistic experience of caring for a baby, allowing users to understand and respond to various scenarios in real time. The Social Actor as the robot (or the baby simulator) signifies that it is the entity through which the interaction occurs and upon which the user's actions are focused.",c
5,"Which of the following best describes the key difference between participatory and opportunistic mobile sensing paradigms?
a) Participatory sensing requires users to actively collect the sensor data, whereas opportunistic sensing relies on automatic sensor data collection without user intervention.
b) Participatory sensing only utilizes built-in smartphone sensors, while opportunistic sensing can incorporate external sensor devices.
c) Participatory sensing collects data automatically while opportunistic sensing relies on user involvement for high-quality data collection.
d) Participatory sensing focuses on collecting data for individual use, whereas opportunistic sensing is designed for large-scale data collection across multiple users or devices.","a) Correct
b) The distinction between participatory and opportunistic sensing is based on user involvement in data collection, not on the use of internal versus external sensors. 
c) It is the opposite. Opportunistic sensing collects data automatically, and it is participatory sensing that relies on user involvement for high-quality data collection. 
d) Both sensing paradigms can be scaled to individual or community levels. The defining factor of the two paradigms are their method of data collection, not the scale of deployment.",a
6,"In the context of context-aware computing, which of the following best illustrates the use of context to enhance the effectiveness of persuasive technology?
a) Persuasive technology primarily uses the user's current activity and environmental conditions to trigger contextually relevant behavioral suggestions.
b) Persuasive technology primarily relies on static user profiles and predetermined schedules for interventions.
c) Context-aware computing is only effective in persuasive technology when it involves manual user inputs to confirm the context before any persuasive action is performed.
d) Persuasive technology applications avoid using sensor data from mobile devices to infer context, relying instead on explicit user settings.","a) Correct
b) Persuasive technology uses both static user profiles and dynamic contextual information to customize interventions, not just predetermined schedules.
c) While manual inputs can enhance context-aware computing, it primarily utilizes automatic sensing and data analysis to determine context in persuasive technology.
d) Persuasive technology often utilizes sensor data from mobile devices to infer context, enhancing interventions beyond what is possible with just explicit user settings.",a
7,"Which of the following explanations is consistent with the definition of proper nouns?
a) Contexts: Contexts in one scenario can have some overlapped area, like persuasive technology being the overlapped area of computers and persuasion.
b) Proximate selection: This technology is aimed at making the located objects ""emphasized"" or ""being easier to choose.""
c) Context-triggered actions: This technology is faced with one challenge in the accuracy of language for rules.
d) Persuasive technology: Nintendo's Pocket Pikachu's medium is raising a virtual pet.","In a given scenario, different contexts cannot have overlapping areas (for instance, in the context of indoor individuals, there is a distinction between sleeping and not sleeping, which are the only two mutually exclusive contexts in the awake state). Therefore, option (a) is incorrect. Option (b) reflects the verbatim content from the slides and is accurate. Option (c) refers to the expressiveness of language for rules rather than accuracy. Regarding option (d), ""raising a virtual pet"" pertains to the social actor, not the medium, making option (d) incorrect. So the correct answer is b.",b
8,"Which of the following is the correct order of sensor data processing pipeline:
a)        Data collection --> Model Building --> Segmentation -->Evaluation --> Feature Extration
b)        Data collection --> Model Building --> Segmentation --> Feature Extration --> Evaluation
c)        Model Building --> Segmentation --> Feature Extration --> Data Collection --> Evaluation
d)        Data collection --> Segmentation --> Feature Extration --> Model Building --> Evaluation
","The correct order in a sensor data processing pipeline is (d) which typically involves collecting data first, followed by segmentation, feature extraction, model building, and finally, evaluation. This sequence ensures that raw data is processed and refined before building a model and evaluating its performance.",a
9,"Which of the following is incorrect about the advantages of persuasive technology over human persuaders? Persuasive technology 
a) Is less persistent than human beings 
b) Offers greater anonymity 
c) Scales more easily 
d) Goes where humans cannot go or may not be welcomed.","The incorrect option is (a) computer technology is more persistent than human beings as the IT systems can operate 24/7 without any changes to their behaviors. Human beings can be influenced by other factors; however, machines are pre-programmed and, therefore, remain persistent through its life cycle unless manually altered.",a
10,"Which of the following statements is incorrect about cyber-physical systems? (select one)
1. Digital transformation is used for managing interconnected systems between their physical assets and computational capabilities.
2. A rich variety of inputs and outputs, such as gesture input, voice commands, and wearable devices, are utilized.
3. The sensors primarily operate indoors to collect real-time data.
4. Data is gathered from cross-domain sensors and IoT devices, enabling data-driven intelligence.
5. Devices are available in diverse form factors, including smartphones, smart bulbs, and smart switches.","Transformative technologies are employed in cyber-physical systems to manage interconnected systems, integrating their physical assets with computational capabilities. These systems boast a diverse array of devices, leading to a rich variety of inputs and outputs. The vast amount of data collected from these inputs and outputs facilitates data-driven intelligence within cyber-physical systems. Notably, sensors in such systems can be installed both indoors and outdoors, depending on application requirements. Hence, option 3 is the correct answer.",3
